1.FAM;2.SP;2.Especies2;21.NECTAR;3.MSUG;4.CSUG;5.NPOL;6.VPOL;7.POR;8.AN;9.SIZ;10.SIM;11.SOLD;12.HUE;13.BRI;14.CHR;15.UV;16.GC;17.DIST;18.CAT;19.COLOR;20.COROLA;Floral display;FdSize;FD x FD Size
Amaryllidaceae;Allium roseum;Allium_roseum;SI;365;10.6;30960;0.67;3;P;21.5;R;NO;666.87;335.7232;1.457649635;0.010122929;0.23682363;0.249995676;B-G;white;Radiada;;;2.16408E-05
Primulaceae;Anagallis arvensis;Anagallis_arvensis;NO;0;;10913;0.05;3;A;10.63;R;NO;669.235;244.8167275;1.906672191;0.216168873;0.038430492;0.262947397;UV;red;Rotacea;;;4.69843E-06
Primulaceae;Anagallis monelli;Anagallis_monelli;NO;0;;80920;0.22;3;P;15.5;R;NO;487.1933333;191.5283;2.035132262;0.339504126;0.07025436;0.361617553;UV-B;blue;Rotacea;233;3611.5;2.71873E-06
Boraginaceae;Anchusa azurea;Anchusa_azurea;SI;930;21.82;24360;0.46;3;P;13;R;SI;697.4276667;146.8098637;2.475146976;0.162008923;0.102575867;0.297566501;UV-B;blue;Hipocrateriforme;1034;13442;1.88834E-05
Boraginaceae;Anchusa calcarea;Anchusa_calcarea;SI;408;17.51;25370;0.6;3;P;9;R;SI;695.8366667;210.9866733;1.974876769;0.09193501;0.047129959;0.214918854;B;blue;Hipocrateriforme;127;1143;2.365E-05
Fabaceae;Anthyllis cytisoides;Anthyllis_cytisoides;SI;122;17.61;3569;0.04;2;;11.5;Z;NO;587.1633333;318.1828667;1.332979449;0.148815446;0.217758702;0.154044865;G-UV;yellow;Papilionada;765;8797.5;1.12076E-05
Asphodelaceae;Asphodelus fistulosus;Asphodelus_fistulosus;SI;2.21;24;2488;0.61;3;;18;R;NO;563.673;399.863137;1.402915217;0.027967843;0.419640359;0.168372075;B-G;white;Radiada;;;0.000245177
Asphodelaceae;Asphodelus ramosus;Asphodelus_ramosus;SI;1214;12.8;;;3;P;38;R;NO;544.965;331.18953;1.43710419;0.098444192;0.230917371;0.081131278;B;white;Radiada;;;#¡DIV/0!
Orobanchaceae;Bartsia trixago;Bartsia_trixago;NO;0;;34865;0.48;3;A;21;Z;SI;525.343;512.80441;1.41766439;0.017677322;0.319334774;0.237476147;B-G;white;Bilabiada;;;1.37674E-05
Fabaceae;Bituminaria bituminosa;Bituminaria_bituminosa;SI;277;21.3;;;3;P;15;Z;NO;697.754;188.823728;2.437592199;0.04260985;0.026594337;0.21855531;B;purple;Papilionada;;;#¡DIV/0!
Gentianaceae;Blackstonia perfoliata;Blackstonia_perfoliata;NO;0;;40853;0.22;3;A;14.5;R;SI;579.744;243.029528;1.729578047;0.125505264;0.149235502;0.241830935;G-UV;yellow;Rotacea;;;5.38516E-06
Boraginaceae;Borago officinalis;Borago_officinalis;SI;2100;;;;3;A;27.5;R;SI;698.34;156.000455;2.611365096;0.151444157;0.101799187;0.318282836;UV-B;blue;Rotacea;;;#¡DIV/0!
Cucurbitaceae;Bryonia dioica;Bryonia_dioica;;;;29435;1.51;3;P;9;R;NO;551.99;470.85346;0.664964461;0.191490502;0.285711986;0.067336508;UV;white;Rotacea;;;5.12995E-05
Campanulaceae;Campanula erinus;Campanula_erinus;SI;0.009;;3410;0.017;3;A;1.5;R;SI;479.035;348.5167575;1.328535664;0.047528275;0.22358972;0.139375404;B-G;purple;Campanulada;;;4.98534E-06
Campanulaceae;Campanula lusitanica;Campanula_lusitanica;SI;0.04;;80340;0.55;3;A;16;R;SI;660.2964286;106.1247014;2.448275426;0.231456639;0.2345354;0.335844809;UV-B;purple;Campanulada;;;6.8459E-06
Campanulaceae;Campanula rapunculus;Campanula_rapunculus;SI;200;;;;3;B;17;R;SI;694.8533333;448.3884433;1.485098854;0.180217686;0.205478521;0.163513473;UV-B;purple;Campanulada;;;#¡DIV/0!
Gentianaceae;Centaurium erythraea;Centaurium_erythraea;NO;0;;117429;0.72;3;;12.5;R;SI;699.8633333;253.65569;2.028951062;0.137295499;0.046803346;0.26452129;UV-B;pink;Hipocrateriforme;;;6.13136E-06
Boraginaceae;Cerinthe gymnandra;Cerinthe_gymnandra;SI;425.99;22.11;295080;0.449854395;3;A;7.5;R;SI;558.776;322.981463;1.384874819;0.038176216;0.224656419;0.184763133;B-G;yellow;Tubular;;;1.52452E-06
Boraginaceae;Cerinthe major;Cerinthe_major;SI;1630.15;28.73;649680;0.72;3;A;7.5;R;SI;699.5913333;116.5845827;2.375721904;0.263561505;0.196055692;0.310268596;UV-B;purple;Tubular;;;1.10824E-06
Cistaceae;Cistus albidus;Cistus_albidus;SI;302;78.92;233470;7.42;2;P;45;R;NO;666.122;320.970102;1.842310755;0.047716384;0.122941198;0.176945929;B;pink;Radiada;18;81;3.17814E-05
Cistaceae;Cistus crispus;Cistus_crispus;SI;388;96.62;170164;3.3;2;P;32;R;NO;695.0766667;287.45554;1.838356087;0.207270321;0.081619025;0.298332705;UV-B;pink;Radiada;47;154;1.93931E-05
Cistaceae;Cistus ladanifer;Cistus_ladanifer;SI;1702;90.3;564623;30.01;2;P;95;R;NO;566.7083333;384.1840417;1.426201737;0.011603202;0.273707328;0.300157003;B-G;white;Radiada;18;171;5.31505E-05
