1.FAM,2.SP,2.Especies2,3.MSUG,4.CSUG,5.NPOL,6.VPOL,7.POR,8.AN,9.SIZ,10.SIM,12.HUE,13.BRI,14.CHR,15.UV,16.GC,17.DIST,18.CAT
AMARYLLIDACEAE,Leucojum autumnale,leucojum_autumnale,0,,,,3,P,19,R,522.066,485.536874,1.258021166,0.056670301,0.297420699,0.099204821,B
AMARYLLIDACEAE,Leucojum trichophyllum,leucojum_trichophyllum,0,,119083,0.249589824,3,P,30,R,510.6785714,519.932449,1.347127887,0.029038594,0.366134192,0.15840156,B-G
ASTERACEAE,Calendula arvensis,Calendula_arvensis,0.009,,,,3,A,20,R,591.4666667,315.25698,1.907736157,0.113073049,0.213085045,0.42723916,G-UV
ASTERACEAE,Dittrichia viscosa,Dittrichia_viscosa,116,44,81740,0.6,2,A,9.8,R,584.9316667,368.3718733,1.68650275,0.151205782,0.243841736,0.315048903,G-UV
ASTERACEAE,Galactites tomentosa,galactites_tomentosa,0.009,,,0.6,3,A,,R,667.02,193.58633,2.166225169,0.009832186,0.096227371,0.287958883,B
ASTERACEAE,Scolymus hispanicus,Scolymus_hispanicus,0.009,,,0.6,3,P,20.5,R,617.3666667,330.4043167,1.702751329,0.196930936,0.192014465,0.315964083,G-UV
BORAGINACEAE,Anchusa azurea,Anchusa_azurea,930,21.82,24360,0.46,3,P,13,R,697.4276667,146.8098637,2.475146976,0.162008923,0.102575867,0.297566501,UV-B
BORAGINACEAE,Anchusa calcarea,anchusa_calcarea,408,17.51,25370,0.6,3,P,9,Z,695.8366667,210.9866733,1.974876769,0.09193501,0.047129959,0.214918854,B
BORAGINACEAE,Borago officinalis,Borago_officinalis,2100,,,,3,A,27.5,R,698.34,156.000455,2.611365096,0.151444157,0.101799187,0.318282836,UV-B
BORAGINACEAE,Cerinthe gymnandra,cerinthe_gymnandra,425.99,22.11,295080,0.449854395,3,A,7.5,R,558.776,322.981463,1.384874819,0.038176216,0.224656419,0.184763133,B-G
BORAGINACEAE,Cerinthe major,Cerinthe_major,1630.15,28.73,649680,0.72,3,A,7.5,R,699.5913333,116.5845827,2.375721904,0.263561505,0.196055692,0.310268596,UV-B
