1.FAMILIA,2.Especie,3.Nrecolecci¢n,4.Datos,5.M/F/H,6.AzucarX,7.AzucarE.S.,8.Azucarn,9.PolenX,10.PolenE.S.,11.Polenn,12.Volumenpolen/flor(mm3),13.Porte,14.A/P/B,15.TamanofloralMin,16.TamanofloralMax,17.TamanofloralX,18AltitudMin,19.AltitudMax,20.AltitudX,21.FloracionInicio,22.FloracionFinal,23.FloracionDuraci¢n,24.Simetria,25.Soldadura,26.Raverage,27.Hue,28.Brightness,29.Chroma,30.UVChroma,31.MeanAbsGC,32.Dist.0,33.N,34.Zona medida
AMARYLLIDACEAE,Leucojum autumnale,,PO/PF,,0,,,,,,,3,P,14,24,19,0,850,425,9,11,2,R,SI,0.422573433,522.066,485.536874,1.258021166,0.056670301,0.297420699,0.099204821,5,1
AMARYLLIDACEAE,Leucojum trichophyllum,43/18,PF,,0,,30,119083,25499.32,7,0.249589824,3,P,18,42,30,0,700,350,2,5,3,R,SI,0.452508659,510.6785714,519.932449,1.347127887,0.029038594,0.366134192,0.15840156,21,1
APOCYNACEAE,Vinca difformis,,LA/PF,,1300,,25,1600,,1,0.239690806,3,P,23,45,34,0,1500,750,2,5,3,R,SI,0.291477026,699.7533333,334.9071033,1.807499016,0.067824318,0.181006493,0.143150681,3,1
ASTERACEAE,Calendula arvensis,,PO,,0.009,,,,,,,3,A,15,25,20,0,1400,700,2,5,3,R,SI,0.274375091,591.4666667,315.25698,1.907736157,0.113073049,0.213085045,0.42723916,3,1
ASTERACEAE,Dittrichia viscosa,,PO/DA,,0.009,,,81740,6351,10,0.6,2,A,8,11.6,9.8,0,1500,750,8,11,3,R,SI,0.320602153,584.9316667,368.3718733,1.68650275,0.151205782,0.243841736,0.315048903,12,1
ASTERACEAE,Galactites tomentosa,,LA/MB,,0.009,,,,,,0.6,3,A,,,NA,0,1000,500,2,6,4,R,SI,0.168482446,667.02,193.58633,2.166225169,0.009832186,0.096227371,0.287958883,2,1
ASTERACEAE,Scolymus hispanicus,193/18,LA/PF,,0.009,,,,,,0.6,3,P,16,25,20.5,0,1500,750,5,7,2,R,SI,0.287558152,617.3666667,330.4043167,1.702751329,0.196930936,0.192014465,0.315964083,3,1
BORAGINACEAE,Anchusa azurea,,PO/DA,,930,109,36,24360,2240,10,0.46,3,P,10,16,13,0,1900,950,3,8,5,R,SI,0.127771857,697.4276667,146.8098637,2.475146976,0.162008923,0.102575867,0.297566501,30,1
BORAGINACEAE,Anchusa calcarea,28/18,PO,,408,81,34,25370,716,10,0.6,3,P,7,11,9,0,150,75,2,6,4,Z,SI,0.183626348,695.8366667,210.9866733,1.974876769,0.09193501,0.047129959,0.214918854,3,1
BORAGINACEAE,Borago officinalis,,DA/LA,,2100,,6,,,,,3,A,25,30,27.5,0,900,450,2,6,4,R,SI,0.135770631,698.34,156.000455,2.611365096,0.151444157,0.101799187,0.318282836,2,1
BORAGINACEAE,Cerinthe gymnandra,,DA,,425.99,425.14,28,295080,51044.57,10,0.449854395,3,A,7,8,7.5,0,800,400,2,5,3,R,SI,0.281097879,558.776,322.981463,1.384874819,0.038176216,0.224656419,0.184763133,30,1
BORAGINACEAE,Cerinthe major,,DA,,1630.15,889.93,34,649680,67096.69,10,0.72,3,A,6,9,7.5,0,800,400,2,5,3,R,SI,0.101466129,699.5913333,116.5845827,2.375721904,0.263561505,0.196055692,0.310268596,30,1
BORAGINACEAE,Cynoglossum creticum,22/18,LA/PF,,300,,3,359625,,1,0.16,3,B,7,10,8.5,0,1600,800,3,5,2,R,SI,0.235189147,699.97,270.23233,1.510434285,0.200773565,0.10374163,0.198028162,2,Flor Azul
