1.FAM;2.SP;2.Especies2;3.MSUG;4.CSUG;5.NPOL;6.VPOL;7.POR;8.AN;9.SIZ;10.SIM;11.SOLD;12.HUE;13.BRI;14.CHR;15.UV;16.GC;17.DIST;18.CAT;19.COLOR;20.COROLA;Floral display;FdSize
Cytinaceae;Cytinus hypocistis;Cytinus_hypocistis;67;;;;3;A;16;R;;580.1766667;336.6382867;1.375597975;0.079140652;0.237130483;0.237130483;G;yellow;Infundibuliforme;10;16
Fabaceae;Cytisus grandiflorus;Cytisus_grandiflorus;0;;72889;0.4;2;;20.5;Z;NO;603.525;314.37618;1.761211458;0.110163028;0.202430678;0.254159453;G-UV;yellow;Papilionada;538;1129
Thymelaeaceae;Daphne gnidium;Daphne_gnidium;25;29.59;3276;0.02;2;P;5.5;R;SI;544.3316667;250.7650642;1.497187321;0.046120491;0.175509823;0.171830873;B-G;white;Hipocrateriforme;997;5483.5
Asparagaceae;Dipcadi serotinum;Dipcadi_serotinum;35.6;17.43;4472;0.23;3;P;27;R;SI;693.5043333;149.3942933;1.733893955;0.136056154;0.069785579;0.083748;UV-B;red;Campanulada;;
Brassicaceae;Diplotaxis erucoides;Diplotaxis_erucoides;0;;112887;0.8;3;A;20;R;NO;503.3162069;547.6621569;1.428241423;0.014416869;0.327854961;0.242098398;B-G;white;Radiada;;
Brassicaceae;Diplotaxis virgata;Diplotaxis_virgata;0;;64980;0.46;3;A;15;R;NO;582.0283333;543.2350027;1.425999028;0.203955451;0.305078904;0.205035913;G-UV;yellow;Radiada;;
Asteraceae;Dittrichia viscosa;Dittrichia_viscosa;116;44;81740;0.6;2;A;9.8;R;SI;584.9316667;368.3718733;1.68650275;0.151205782;0.243841736;0.315048903;G-UV;yellow;Liguladas;101;989.8
Asparagaceae;Drimia maritima;Drimia_maritima;85.3;29.04;60636;1.93;3;P;21;R;NO;468.707;283.449457;1.288292359;0.080998529;0.396512708;0.102787466;B;white;Radiada;;
Boraginaceae;Echium gaditanum;Echium_gaditanum;218;11.73;194825;0.18;3;;16;Z;SI;699.21;202.4786033;1.449854813;0.240931585;0.001039634;0.280768907;UV-B;purple;Infundibuliforme;582;9312
Boraginaceae;Echium plantagineum;Echium_plantagineum;230;11.43;382229;0.57;3;;25;Z;SI;697.3633333;82.59405;2.953039051;0.222909286;0.248975486;0.303250193;UV-B;blue;Infundibuliforme;61;1525
Ericaceae;Erica arborea;Erica_arborea;46;10.79;;;2;P;2.75;R;SI;516.8833333;395.2126133;1.223461842;0.060035594;0.265044406;0.10032192;B;white;Campanulada;;
Ericaceae;Erica umbellata;Erica_umbellata;36;14.35;5481;0.26;2;P;4.25;R;SI;656.4066667;292.52502;1.898108775;0.053089101;0.093524068;0.177756679;B;pink;Campanulada;2380;1115
Fabaceae;Erophaca baetica;Erophaca_baetica;3008;21.8;306300;0.78;3;P;31.5;Z;NO;535.414;366.4186093;1.427736278;0.028968253;0.259794967;0.232833176;B-G;white;Papilionada;;
Caprifoliaceae;Fedia cornucopiae;Fedia_cornucopiae;;;2303;0.14;3;A;12;Z;SI;692.13;262.9423367;1.582225555;0.077434508;0.09756239;0.1581167;B;purple;Hipocrateriforme;;
Asteraceae;Galactites tomentosa;Galactites_tomentosa;;;;0.6;3;A;;R;SI;667.02;193.58633;2.166225169;0.009832186;0.096227371;0.287958883;B;pink;Tubular;;
